TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL
WAS,4/8/2021,@CHI,"EMBIID, JOEL",42,35,29,10,19,5,1,0,2,10,18,0.5555555556,3,5,0.6,12,14,0.8571428571,3,CHI,0,70,,135,115,27.0630137,W
SAC,5/20/2021,CLE,"CAPELA, CLINT",38,23,26,10,16,1,0,2,1,10,17,0.5882352941,0,0,,3,4,0.75,3,CLE,0,52,,123,94,27.00547945,W
CLE,2/15/2021,CHA,"THOMPSON, TRISTAN",32,9,24,3,21,3,0,0,0,3,5,0.6,0,0,,3,7,0.4285714286,1,CHA,0,36,,124,105,29.92876712,W
DEN,5/18/2021,CHI,"JOKIC, NIKOLA",33,17,24,6,18,13,2,3,7,6,16,0.375,0,3,0,5,5,1,4,CHI,1,59,,125,88,26.24109589,W
POR,1/8/2021,@CHI,"WHITESIDE, HASSAN",27,12,24,4,20,1,0,4,1,6,12,0.5,0,0,,0,2,0,4,CHI,0,41,,134,101,31.57260274,W
WAS,1/5/2021,CHA,"EMBIID, JOEL",33,14,24,8,16,2,1,1,1,6,12,0.5,0,3,0,2,3,0.6666666667,1,CHA,0,42,,99,94,26.80821918,W
ATL,4/28/2021,CLE,"DAVIS, ANTHONY",40,24,23,5,18,6,0,5,2,10,20,0.5,1,5,0.2,3,4,0.75,4,CLE,0,58,,113,107,28.13150685,W
DAL,4/13/2021,@MIA,"DRUMMOND, ANDRE",36,15,23,7,16,2,0,1,1,7,12,0.5833333333,0,0,,1,2,0.5,3,MIA,0,41,,118,93,27.6739726,W
DEN,12/28/2020,BKN,"JOKIC, NIKOLA",39,26,23,6,17,5,2,3,2,8,18,0.4444444444,2,7,0.2857142857,8,9,0.8888888889,3,BKN,0,59,,111,117,25.85519126,L
MIN,3/10/2021,OKC,"TOWNS, KARL-ANTHONY",34,22,23,4,19,5,0,8,0,9,19,0.4736842105,3,5,0.6,1,1,1,4,OKC,0,58,,109,101,25.31506849,W
NOP,5/13/2021,@ORL,"ALLEN, JARRETT",32,14,23,4,19,2,4,6,0,4,7,0.5714285714,0,0,,6,7,0.8571428571,3,ORL,0,49,,108,91,23.06027397,W
ATL,3/26/2021,@ORL,"DAVIS, ANTHONY",32,14,22,8,14,2,3,1,2,4,9,0.4444444444,1,5,0.2,5,6,0.8333333333,2,ORL,0,42,,116,113,28.04109589,W
BOS,2/16/2021,ATL,"VALANCIUNAS, JONAS",36,16,22,5,17,3,0,2,1,7,14,0.5,0,0,,2,2,1,2,ATL,0,43,,105,125,28.78356164,L
CLE,1/29/2021,@TOR,"THOMPSON, TRISTAN",35,11,22,9,13,1,0,2,1,5,8,0.625,0,0,,1,2,0.5,4,TOR,0,36,,92,120,29.88219178,L
CLE,4/28/2021,@ATL,"THOMPSON, TRISTAN",34,11,22,11,11,0,0,0,0,5,10,0.5,0,0,,1,3,0.3333333333,2,ATL,0,33,,107,113,30.1260274,L
DAL,1/5/2021,CLE,"MARJANOVIC, BOBAN",35,20,22,5,17,1,0,1,4,8,21,0.380952381,0,0,,4,4,1,2,CLE,0,44,,105,99,32.39178082,W
MIL,12/20/2020,@LAC,"ANTETOKOUNMPO, GIANNIS",35,18,22,9,13,7,1,3,3,6,15,0.4,3,8,0.375,3,4,0.75,3,LAC,0,51,,105,89,26.03835616,W
SAC,5/15/2021,SAS,"CAPELA, CLINT",39,16,22,8,14,0,1,3,3,8,12,0.6666666667,0,0,,0,0,,4,SAS,0,42,,140,109,26.99178082,W
WAS,4/22/2021,MIA,"EMBIID, JOEL",43,27,22,5,17,1,1,6,4,8,13,0.6153846154,0,2,0,11,14,0.7857142857,2,MIA,0,57,,112,116,27.10136986,L
BOS,2/17/2021,@CHI,"VALANCIUNAS, JONAS",29,0,21,6,15,1,0,0,3,0,9,0,0,0,,0,0,,3,CHI,0,22,,104,126,28.78630137,L
CHI,1/6/2021,@CHA,"GOBERT, RUDY",37,8,21,10,11,1,1,3,3,4,15,0.2666666667,0,0,,0,0,,5,CHA,0,34,,118,103,28.53150685,W
CHI,1/26/2021,CHA,"GOBERT, RUDY",33,12,21,9,12,1,2,0,0,4,7,0.5714285714,0,0,,4,8,0.5,3,CHA,0,36,,105,99,28.58630137,W
CLE,1/10/2021,ORL,"THOMPSON, TRISTAN",33,19,21,9,12,2,0,1,2,8,16,0.5,1,1,1,2,4,0.5,1,ORL,0,43,,111,91,29.83013699,W
CLE,3/25/2021,LAC,"THOMPSON, TRISTAN",32,7,21,9,12,1,2,1,3,2,12,0.1666666667,0,0,,3,4,0.75,1,LAC,0,32,,94,118,30.03287671,L
DAL,1/21/2021,SAC,"DRUMMOND, ANDRE",34,21,21,5,16,2,1,1,1,9,18,0.5,0,0,,3,3,1,3,SAC,0,46,,116,108,27.44931507,W
DET,5/16/2021,@BKN,"WOOD, CHRISTIAN",32,19,21,9,12,0,1,0,0,7,9,0.7777777778,1,2,0.5,4,5,0.8,1,BKN,0,41,,102,93,25.63287671,W
IND,2/19/2021,@CHA,"SABONIS, DOMANTAS",31,8,21,3,18,6,0,0,1,3,7,0.4285714286,0,0,,2,2,1,5,CHA,0,35,,121,83,24.8,W
MIL,4/13/2021,OKC,"ANTETOKOUNMPO, GIANNIS",38,32,21,5,16,8,0,2,3,12,20,0.6,4,7,0.5714285714,4,6,0.6666666667,5,OKC,0,63,,136,110,26.35068493,W
NYK,12/20/2020,@DET,"ROBINSON, MITCHELL",36,21,21,4,17,0,0,6,2,9,14,0.6428571429,0,0,,3,4,0.75,5,DET,0,48,,98,90,22.72054795,W
