TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,SEASON
ATL,2021-10-21,DAL,"YOUNG, TRAE",34,29,5,0,5,12,1,0,2,13,21,0.619047619,2,3,0.6666666667,1,2,0.5,1,DAL,0,47,NA,117,95,23.08767123,W,REG,21-22
ATL,2021-10-21,DAL,"GEORGE, PAUL",33,19,3,0,3,4,1,0,2,8,13,0.6153846154,3,5,0.6,0,0,NA,1,DAL,0,27,NA,117,95,31.47123288,W,REG,21-22
ATL,2021-10-21,DAL,"DAVIS, ANTHONY",35,19,8,1,7,5,4,1,2,9,15,0.6,1,1,1,0,0,NA,2,DAL,0,37,NA,117,95,28.61369863,W,REG,21-22
ATL,2021-10-21,DAL,"ANTHONY, CARMELO",18,14,2,0,2,1,0,0,0,5,10,0.5,1,2,0.5,3,3,1,0,DAL,0,17,NA,117,95,37.39726027,W,REG,21-22
ATL,2021-10-21,DAL,"GRANT, JERAMI",17,12,5,1,4,0,0,3,0,6,8,0.75,0,0,NA,0,0,NA,0,DAL,0,20,NA,117,95,27.6109589,W,REG,21-22
ATL,2021-10-21,DAL,"ZELLER, CODY",30,7,5,0,5,0,1,2,0,3,3,1,0,0,NA,1,1,1,0,DAL,0,15,NA,117,95,29.04383562,W,REG,21-22
ATL,2021-10-21,DAL,"HARDAWAY, TIM",22,7,7,1,6,2,0,1,0,3,8,0.375,1,4,0.25,0,0,NA,0,DAL,0,17,NA,117,95,23.69863014,W,REG,21-22
ATL,2021-10-21,DAL,"POWELL, NORMAN",26,5,6,0,6,2,1,0,2,1,7,0.1428571429,1,3,0.3333333333,2,2,1,0,DAL,0,14,NA,117,95,28.40821918,W,REG,21-22
ATL,2021-10-21,DAL,"BRADLEY, TONY",11,3,8,2,6,0,0,1,1,1,3,0.3333333333,0,0,NA,1,2,0.5,3,DAL,0,12,NA,117,95,23.78356164,W,REG,21-22
ATL,2021-10-21,DAL,"FORBES, BRYN",14,2,1,0,1,4,0,0,0,1,3,0.3333333333,0,0,NA,0,0,NA,0,DAL,0,7,NA,117,95,28.24657534,W,REG,21-22
ATL,2021-10-23,@CLE,"DAVIS, ANTHONY",30,22,14,3,11,4,1,2,3,10,15,0.6666666667,2,4,0.5,0,0,NA,1,CLE,0,43,NA,106,117,28.61917808,L,REG,21-22
ATL,2021-10-23,@CLE,"HARDAWAY, TIM",21,22,5,0,5,0,0,0,1,8,14,0.5714285714,6,11,0.5454545455,0,0,NA,3,CLE,0,27,NA,106,117,23.70410959,L,REG,21-22
ATL,2021-10-23,@CLE,"GEORGE, PAUL",32,19,7,1,6,2,0,0,1,8,16,0.5,3,5,0.6,0,0,NA,5,CLE,0,28,NA,106,117,31.47671233,L,REG,21-22
ATL,2021-10-23,@CLE,"YOUNG, TRAE",33,15,3,0,3,9,0,0,3,5,16,0.3125,1,8,0.125,4,5,0.8,2,CLE,0,27,NA,106,117,23.09315068,L,REG,21-22
ATL,2021-10-23,@CLE,"POWELL, NORMAN",31,9,1,1,0,0,0,0,0,3,9,0.3333333333,1,4,0.25,2,2,1,4,CLE,0,10,NA,106,117,28.41369863,L,REG,21-22
ATL,2021-10-23,@CLE,"ZELLER, CODY",29,6,7,2,5,6,0,1,1,2,7,0.2857142857,0,0,NA,2,2,1,1,CLE,0,20,NA,106,117,29.04931507,L,REG,21-22
ATL,2021-10-23,@CLE,"ANTHONY, CARMELO",20,6,2,1,1,0,0,0,1,2,6,0.3333333333,1,3,0.3333333333,1,2,0.5,1,CLE,0,8,NA,106,117,37.40273973,L,REG,21-22
ATL,2021-10-23,@CLE,"GRANT, JERAMI",20,5,6,0,6,1,0,1,2,2,7,0.2857142857,0,3,0,1,2,0.5,4,CLE,0,13,NA,106,117,27.61643836,L,REG,21-22
ATL,2021-10-23,@CLE,"BRADLEY, TONY",12,2,4,2,2,1,1,0,1,1,1,1,0,0,NA,0,2,0,1,CLE,0,8,NA,106,117,23.7890411,L,REG,21-22
ATL,2021-10-23,@CLE,"FORBES, BRYN",12,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,NA,0,CLE,0,0,NA,106,117,28.25205479,L,REG,21-22
ATL,2021-10-25,DET,"GEORGE, PAUL",32,21,6,0,6,3,5,1,1,9,18,0.5,3,10,0.3,0,0,NA,3,DET,0,36,NA,125,98,31.48219178,W,REG,21-22
ATL,2021-10-25,DET,"DAVIS, ANTHONY",32,20,7,4,3,8,3,0,2,9,14,0.6428571429,1,1,1,1,2,0.5,3,DET,0,38,NA,125,98,28.62465753,W,REG,21-22
ATL,2021-10-25,DET,"YOUNG, TRAE",32,18,4,1,3,10,3,0,2,7,16,0.4375,4,8,0.5,0,0,NA,2,DET,0,35,NA,125,98,23.09863014,W,REG,21-22
ATL,2021-10-25,DET,"GRANT, JERAMI",22,17,5,1,4,3,0,1,0,8,14,0.5714285714,1,5,0.2,0,0,NA,1,DET,0,26,NA,125,98,27.62191781,W,REG,21-22
