TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype
ATL,2022-10-19,HOU,"MURRAY, DEJOUNTE",34,21,10,4,6,11,1,0,2,9,19,0.47368421052631576,1,3,0.3333333333333333,2,2,1,3,HOU,1,43,,115,104,NA,W,REG
ATL,2022-10-19,HOU,"ANTHONY, COLE",23,20,3,0,3,5,1,0,0,4,10,0.4,3,6,0.5,9,9,1,4,HOU,0,29,,115,104,22.43013698630137,W,REG
ATL,2022-10-19,HOU,"BARRETT, RJ",32,14,4,1,3,1,0,0,2,7,15,0.4666666666666667,0,2,0,0,0,NA,2,HOU,0,19,,115,104,NA,W,REG
ATL,2022-10-19,HOU,"PORTIS, BOBBY",20,14,6,2,4,0,0,0,1,4,6,0.6666666666666666,2,3,0.6666666666666666,4,5,0.8,0,HOU,0,20,,115,104,NA,W,REG
ATL,2022-10-19,HOU,"VUCEVIC, NIKOLA",24,13,7,0,7,1,0,1,1,5,8,0.625,1,3,0.3333333333333333,2,2,1,6,HOU,0,22,,115,104,NA,W,REG
ATL,2022-10-19,HOU,"MURRAY, KEEGAN",19,10,3,1,2,1,0,0,1,5,9,0.5555555555555556,0,4,0,0,0,NA,2,HOU,0,14,,115,104,NA,W,REG
ATL,2022-10-19,HOU,"YOUNG, TRAE",24,9,1,1,0,6,0,0,1,4,7,0.5714285714285714,1,3,0.3333333333333333,0,0,NA,6,HOU,0,16,,115,104,NA,W,REG
ATL,2022-10-19,HOU,"ROBINSON, DUNCAN",14,6,2,1,1,2,0,0,2,3,6,0.5,0,3,0,0,0,NA,3,HOU,0,10,,115,104,NA,W,REG
ATL,2022-10-19,HOU,"CLARKE, BRANDON",18,4,2,2,0,0,1,2,1,2,3,0.6666666666666666,0,0,NA,0,0,NA,0,HOU,0,9,,115,104,NA,W,REG
ATL,2022-10-19,HOU,"GRANT, JERAMI",31,2,3,0,3,0,0,1,4,1,5,0.2,0,3,0,0,0,NA,4,HOU,0,6,,115,104,NA,W,REG
