TEAM,DATE,OPP,OPP_RAW,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype
ATL,2025-10-22,TOR,TOR,"CUNNINGHAM, CADE",33,29,5,0,5,5,2,0,0,11,18,0.6111111111111112,1,4,0.25,6,6,1,2,TOR,0,41,,133,128,NA,W,REG
ATL,2025-10-22,TOR,TOR,"ADEBAYO, BAM",39,26,12,5,7,6,1,2,2,11,18,0.6111111111111112,0,0,NA,4,4,1,2,TOR,0,47,,133,128,NA,W,REG
ATL,2025-10-22,TOR,TOR,"ANTHONY, COLE",24,19,4,0,4,5,1,0,0,6,13,0.46153846153846156,1,1,1,6,6,1,5,TOR,0,29,,133,128,25.438356164383563,W,REG
ATL,2025-10-22,TOR,TOR,"REAVES, AUSTIN",31,15,0,0,0,4,0,0,4,7,9,0.7777777777777778,1,2,0.5,0,1,0,1,TOR,0,19,,133,128,NA,W,REG
ATL,2025-10-22,TOR,TOR,"HAUSER, SAM",20,12,3,2,1,2,0,0,1,3,9,0.3333333333333333,3,9,0.3333333333333333,3,3,1,4,TOR,0,17,,133,128,NA,W,REG
ATL,2025-10-22,TOR,TOR,"MCDANIELS, JADEN",25,10,2,0,2,3,3,0,3,3,6,0.5,1,3,0.3333333333333333,3,3,1,1,TOR,0,18,,133,128,25.063013698630137,W,REG
ATL,2025-10-22,TOR,TOR,"WILLIAMS, JAYLIN",29,8,12,4,8,6,1,1,3,1,7,0.14285714285714285,0,5,0,6,6,1,4,TOR,0,28,,133,128,NA,W,REG
ATL,2025-10-22,TOR,TOR,"SHEPPARD, BEN",10,6,1,0,1,1,0,0,0,0,0,NA,0,0,NA,6,6,1,3,TOR,0,8,,133,128,NA,W,REG
ATL,2025-10-22,TOR,TOR,"WHITMORE, CAM",17,4,3,0,3,2,0,0,1,2,5,0.4,0,3,0,0,0,NA,0,TOR,0,9,,133,128,NA,W,REG
ATL,2025-10-22,TOR,TOR,"WILSON, JALEN",12,4,1,0,1,1,0,0,0,2,3,0.6666666666666666,0,1,0,0,0,NA,1,TOR,0,6,,133,128,NA,W,REG
ATL,2025-10-24,@ORL,ORL,"REAVES, AUSTIN",38,26,6,0,6,9,1,0,1,12,19,0.631578947368421,0,4,0,2,2,1,2,ORL,0,42,,106,94,NA,W,REG
ATL,2025-10-24,@ORL,ORL,"CUNNINGHAM, CADE",36,23,7,1,6,7,1,0,0,10,21,0.47619047619047616,1,4,0.25,2,2,1,3,ORL,0,38,,106,94,NA,W,REG
ATL,2025-10-24,@ORL,ORL,"ADEBAYO, BAM",36,20,8,3,5,5,3,3,1,8,12,0.6666666666666666,0,2,0,4,5,0.8,3,ORL,0,39,,106,94,NA,W,REG
ATL,2025-10-24,@ORL,ORL,"MCDANIELS, JADEN",33,17,5,1,4,0,1,0,2,7,12,0.5833333333333334,3,6,0.5,0,0,NA,0,ORL,0,23,,106,94,25.068493150684933,W,REG
