TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,GAME,ROUND,SEASON
ATL,2021-06-05,MIA,"DAVIS, ANTHONY",42,40,19,1,18,10,2,6,1,19,21,0.9047619048,1,2,0.5,1,2,0.5,2,MIA,1,77,NA,161,92,28.23561644,W,PLAYOFF,1,1,20-21
ATL,2021-06-05,MIA,"GEORGE, PAUL",34,28,7,1,6,4,0,1,2,10,15,0.6666666667,5,6,0.8333333333,3,3,1,2,MIA,0,40,NA,161,92,31.09315068,W,PLAYOFF,1,1,20-21
ATL,2021-06-05,MIA,"YOUNG, TRAE",33,27,6,2,4,11,1,0,1,11,23,0.4782608696,3,8,0.375,2,2,1,1,MIA,0,45,NA,161,92,22.70958904,W,PLAYOFF,1,1,20-21
ATL,2021-06-05,MIA,"ROSE, DERRICK",23,24,1,0,1,8,0,0,1,10,16,0.625,2,4,0.5,2,2,1,0,MIA,0,33,NA,161,92,32.66849315,W,PLAYOFF,1,1,20-21
ATL,2021-06-05,MIA,"POWELL, NORMAN",27,15,5,0,5,6,0,0,1,6,9,0.6666666667,3,3,1,0,0,NA,1,MIA,0,26,NA,161,92,28.03013699,W,PLAYOFF,1,1,20-21
ATL,2021-06-05,MIA,"HOLMES, RICHAUN",25,10,13,2,11,2,0,1,1,3,3,1,0,0,NA,4,4,1,5,MIA,0,26,NA,161,92,27.63835616,W,PLAYOFF,1,1,20-21
ATL,2021-06-05,MIA,"GRANT, JERAMI",33,9,7,2,5,8,0,0,0,4,4,1,1,1,1,0,0,NA,2,MIA,0,24,NA,161,92,27.23287671,W,PLAYOFF,1,1,20-21
ATL,2021-06-05,MIA,"HARDAWAY, TIM",14,6,5,0,5,1,0,0,0,2,4,0.5,2,3,0.6666666667,0,0,NA,0,MIA,0,12,NA,161,92,23.32054795,W,PLAYOFF,1,1,20-21
ATL,2021-06-05,MIA,"MULDER, MYCHAL",3,2,0,0,0,1,0,0,0,1,1,1,0,0,NA,0,0,NA,0,MIA,0,3,NA,161,92,26.98082192,W,PLAYOFF,1,1,20-21
ATL,2021-06-05,MIA,"SNELL, TONY",3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,NA,0,MIA,0,0,NA,161,92,29.56712329,W,PLAYOFF,1,1,20-21
ATL,2021-06-05,MIA,"MILLER, DARIUS",3,0,1,0,1,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,MIA,0,2,NA,161,92,31.20821918,W,PLAYOFF,1,1,20-21
ATL,2021-06-09,MIA,"GEORGE, PAUL",33,26,8,2,6,9,2,1,0,9,23,0.3913043478,4,9,0.4444444444,4,4,1,1,MIA,0,46,NA,138,79,31.10410959,W,PLAYOFF,2,1,20-21
ATL,2021-06-09,MIA,"DAVIS, ANTHONY",39,26,20,2,18,4,2,6,2,12,19,0.6315789474,2,4,0.5,0,0,NA,3,MIA,0,58,NA,138,79,28.24657534,W,PLAYOFF,2,1,20-21
ATL,2021-06-09,MIA,"YOUNG, TRAE",31,23,4,1,3,8,0,0,1,9,14,0.6428571429,3,5,0.6,2,2,1,1,MIA,0,35,NA,138,79,22.72054795,W,PLAYOFF,2,1,20-21
ATL,2021-06-09,MIA,"GRANT, JERAMI",36,17,14,1,13,2,0,1,1,7,12,0.5833333333,1,1,1,2,2,1,2,MIA,0,34,NA,138,79,27.24383562,W,PLAYOFF,2,1,20-21
ATL,2021-06-09,MIA,"POWELL, NORMAN",32,16,4,1,3,3,0,0,2,5,11,0.4545454545,1,2,0.5,5,5,1,0,MIA,0,23,NA,138,79,28.04109589,W,PLAYOFF,2,1,20-21
ATL,2021-06-09,MIA,"ROSE, DERRICK",22,14,3,0,3,11,0,0,0,5,9,0.5555555556,2,5,0.4,2,2,1,0,MIA,0,28,NA,138,79,32.67945205,W,PLAYOFF,2,1,20-21
ATL,2021-06-09,MIA,"HARDAWAY, TIM",18,12,2,1,1,2,0,0,1,4,9,0.4444444444,1,3,0.3333333333,3,3,1,0,MIA,0,16,NA,138,79,23.33150685,W,PLAYOFF,2,1,20-21
ATL,2021-06-09,MIA,"HOLMES, RICHAUN",18,4,8,1,7,1,2,0,0,1,1,1,0,0,NA,2,2,1,2,MIA,0,15,NA,138,79,27.64931507,W,PLAYOFF,2,1,20-21
ATL,2021-06-09,MIA,"OQUINN, KYLE",8,0,1,1,0,0,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,MIA,0,2,NA,138,79,31.20547945,W,PLAYOFF,2,1,20-21
ATL,2021-06-09,MIA,"MILLER, DARIUS",1,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,0,0,NA,0,MIA,0,0,NA,138,79,31.21917808,W,PLAYOFF,2,1,20-21
