TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,GAME,ROUND,gametype
ATL,2023-04-17,@BKN,"YOUNG, TRAE",42,20,1,0,1,11,0,0,3,9,17,0.5294117647058824,2,5,0.4,0,0,NA,6,BKN,0,32,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"MURRAY, DEJOUNTE",36,20,4,1,3,3,0,1,1,7,15,0.4666666666666667,2,4,0.5,4,5,0.8,2,BKN,0,28,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"ANTHONY, COLE",13,13,1,0,1,0,0,0,0,4,8,0.5,3,4,0.75,2,2,1,0,BKN,0,14,,96,128,22.923287671232877,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"PORTIS, BOBBY",20,11,4,0,4,1,1,0,0,4,8,0.5,1,1,1,2,2,1,1,BKN,0,17,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"BARRETT, RJ",30,10,3,0,3,3,1,0,0,2,13,0.15384615384615385,0,8,0,6,6,1,1,BKN,0,17,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"GRANT, JERAMI",29,8,2,0,2,0,0,0,0,4,12,0.3333333333333333,0,3,0,0,0,NA,2,BKN,0,10,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"MURRAY, KEEGAN",15,8,5,2,3,1,0,0,0,2,3,0.6666666666666666,0,0,NA,4,4,1,0,BKN,0,14,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"VUCEVIC, NIKOLA",32,4,10,1,9,1,1,1,0,2,5,0.4,0,0,NA,0,0,NA,2,BKN,0,17,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"ROBINSON, DUNCAN",5,2,1,0,1,0,0,0,0,1,3,0.3333333333333333,0,1,0,0,0,NA,0,BKN,0,3,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"PORTER, OTTO",11,0,3,0,3,2,0,0,0,0,2,0,0,2,0,0,0,NA,0,BKN,0,5,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"SIMS, JERICHO",2,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,0,0,NA,1,BKN,0,0,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-17,@BKN,"KLEBER, MAXI",5,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,BKN,0,0,,96,128,NA,L,1,1,PLAYOFF
ATL,2023-04-21,@BKN,"BARRETT, RJ",39,29,4,1,3,4,0,0,0,9,19,0.47368421052631576,3,8,0.375,8,10,0.8,1,BKN,0,37,,102,119,NA,L,2,1,PLAYOFF
ATL,2023-04-21,@BKN,"YOUNG, TRAE",41,20,3,0,3,5,1,0,2,9,20,0.45,2,6,0.3333333333333333,0,0,NA,5,BKN,0,29,,102,119,NA,L,2,1,PLAYOFF
ATL,2023-04-21,@BKN,"MURRAY, DEJOUNTE",43,18,1,0,1,5,0,0,1,7,14,0.5,2,4,0.5,2,2,1,3,BKN,0,24,,102,119,NA,L,2,1,PLAYOFF
ATL,2023-04-21,@BKN,"VUCEVIC, NIKOLA",32,17,13,1,12,2,3,0,0,7,7,1,0,0,NA,3,3,1,2,BKN,0,35,,102,119,NA,L,2,1,PLAYOFF
ATL,2023-04-21,@BKN,"GRANT, JERAMI",33,8,8,1,7,1,0,0,0,3,10,0.3,0,3,0,2,2,1,1,BKN,0,17,,102,119,NA,L,2,1,PLAYOFF
ATL,2023-04-21,@BKN,"MURRAY, KEEGAN",26,5,6,0,6,1,0,0,0,2,9,0.2222222222222222,0,2,0,1,3,0.3333333333333333,3,BKN,0,12,,102,119,NA,L,2,1,PLAYOFF
ATL,2023-04-21,@BKN,"ANTHONY, COLE",9,5,0,0,0,1,0,1,0,2,5,0.4,0,2,0,1,2,0.5,1,BKN,0,7,,102,119,22.934246575342467,L,2,1,PLAYOFF
ATL,2023-04-21,@BKN,"PORTER, OTTO",9,0,1,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,BKN,0,1,,102,119,NA,L,2,1,PLAYOFF
ATL,2023-04-21,@BKN,"KLEBER, MAXI",8,0,2,0,2,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,1,BKN,0,2,,102,119,NA,L,2,1,PLAYOFF
ATL,2023-04-25,BKN,"GRANT, JERAMI",29,23,7,2,5,3,1,0,0,8,12,0.6666666666666666,3,4,0.75,4,5,0.8,2,BKN,0,34,,112,119,NA,L,3,1,PLAYOFF
ATL,2023-04-25,BKN,"YOUNG, TRAE",40,21,2,0,2,8,0,0,1,8,18,0.4444444444444444,3,6,0.5,2,2,1,3,BKN,0,31,,112,119,NA,L,3,1,PLAYOFF
