date,team,nby
2025-02-08,ATL,1000
2025-02-08,BOS,1000
2025-02-08,BKN,1000
2025-02-08,CHA,1000
2025-02-08,CHI,1000
2025-02-08,CLE,1000
2025-02-08,DAL,1000
2025-02-08,DEN,1000
2025-02-08,DET,1000
2025-02-08,GSW,1000
2025-02-08,HOU,1000
2025-02-08,IND,1000
2025-02-08,LAC,1000
2025-02-08,LAL,1000
2025-02-08,MEM,1000
2025-02-08,MIA,1000
2025-02-08,MIL,1000
2025-02-08,MIN,1000
2025-02-08,NOP,1000
2025-02-08,NYK,1000
2025-02-08,OKC,1000
2025-02-08,ORL,1000
2025-02-08,PHI,1000
2025-02-08,PHX,1000
2025-02-08,POR,1000
2025-02-08,SAC,1000
2025-02-08,SAS,1000
2025-02-08,TOR,1000
2025-02-08,UTA,1000
2025-02-08,WAS,1000
2025-02-10,PHX,100
2025-02-10,MEM,100
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
