SEED,TEAM,GB,W,L,PCT,PPG,OPPG,DIFF
East-1,BKN,0,37,13,0.74,110.3,100.2,10.1
East-2,PHI,2.5,34,15,0.694,112.3,103.4,8.9
East-3,CLE,3,34,16,0.68,117.6,110.7,7
East-4,CHI,3.5,34,17,0.667,109.1,102.7,6.4
East-5,DET,7,30,20,0.6,114.7,108.8,5.9
East-6,MIL,7.5,29,20,0.592,111,108.3,2.7
East-7,NYK,8.5,29,22,0.569,110.7,107.5,3.2
East-8,IND,9.5,27,22,0.551,107,103.7,3.3
East-9,ATL,10,27,23,0.54,108.6,106.9,1.7
East-10,BOS,13.5,24,27,0.471,109.2,106.7,2.5
East-11,MIA,17,19,29,0.396,106.2,113.5,-7.2
East-12,WAS,17.5,19,30,0.388,103.1,111.8,-8.8
East-13,TOR,20,17,33,0.34,108.7,114,-5.3
East-14,CHA,25.5,11,38,0.224,107.6,116.7,-9.1
East-15,ORL,30.5,7,44,0.137,96.1,115.1,-19
West-1,UTA,0,36,13,0.735,109.5,99.2,10.3
West-2,PHX,1,35,14,0.714,113.7,102.6,11
West-3,MEM,1.5,35,15,0.7,113,106,7.1
West-4,SAS,3.5,32,16,0.667,112.7,105.6,7.1
West-5,NOP,7,30,21,0.588,113.2,111.5,1.6
West-6,OKC,8.5,27,21,0.562,114.9,111,3.9
West-7,DEN,11.5,25,25,0.5,111.1,109.2,1.9
West-8,SAC,12,24,25,0.49,102.3,105.4,-3.1
West-9,MIN,12.5,24,26,0.48,107,104.8,2.2
West-10,GSW,13,23,26,0.469,109.9,108.8,1.1
West-11,LAL,15.5,21,29,0.42,104.5,106.6,-2.1
West-12,POR,19,18,33,0.353,104.8,110.2,-5.4
West-13,LAC,19.5,17,33,0.34,106.3,109.8,-3.5
West-14,DAL,21,16,35,0.314,105.4,116.4,-11
West-15,HOU,31.5,5,45,0.1,101.6,124.2,-22.5
